Country,LifeExp,People/TV,People/Dr,LifeExp Male,LifeExp Female
Argentina,70.5,4,370,67,74
Bangladesh,53.5,315,6166,53,54
Brazil,65,4,684,62,68
Canada,76.5,1.7,449,73,80
China,70,8,643,68,72
Colombia,71,5.6,1551,68,74
Egypt,60.5,15,616,60,61
Ethiopia,51.5,503,36660,50,53
France,78,2.6,403,74,82
Germany,76,2.6,346,73,79
India,57.5,44,2471,58,57
Indonesia,61,24,7427,59,63
Iran,64.5,23,2992,64,65
Italy,78.5,3.8,233,75,82
Japan,79,1.8,609,76,82
Kenya,61,96,7615,59,63
"Korea, North",70,90,370,67,73
"Korea, South",70,4.9,1066,67,73
Mexico,72,6.6,600,68,76
Morocco,64.5,21,4873,63,66
Burma,54.5,592,3485,53,56
Pakistan,56.5,73,2364,56,57
Peru,64.5,14,1016,62,67
Philippines,64.5,8.8,1062,62,67
Poland,73,3.9,480,69,77
Romania,72,6,559,69,75
Russia,69,3.2,259,64,74
South Africa,64,11,1340,61,67
Spain,78.5,2.6,275,75,82
Sudan,53,23,12550,52,54
Taiwan,75,3.2,965,72,78
Thailand,68.5,11,4883,66,73
Turkey,70,5,1189,68,72
Ukraine,70.5,3,226,66,75
United Kingdom,76,3,611,73,79
United States,75.5,1.3,404,72,79
Venezuela,74.5,5.6,576,71,78
Vietnam,65,29,3096,63,67
